金额,源途径,目标途径,日期,详情
914.91,支付宝,花呗,2020/09/10,
2.0,支付宝,微信,2021/09/12,和刘彤金额交换
6.0,花呗,微信,2021/09/18,刘彤买包子
20.0,支付宝,微信,2021/09/18,刘彤充校园卡
1000.0,中国银行,微信,2021/10/07,
837.71,支付宝,花呗,2021/10/10,还款
50.0,花呗,微信,2021/11/01,刘彤充话费
5.0,花呗,支付宝,2021/11/03,北京乐享食科技有限公司，充值5元得5000金币，而提现居然要7500金币才能提现5元，做了
3.0,花呗,微信,2021/11/04,刘彤买怡宝
12.0,花呗,微信,2021/11/13,吃饭 摇滚鸡（刘彤）
13.0,花呗,微信,2021/11/13,吃饭 鱼粉（刘彤）
13.0,花呗,微信,2021/11/15,吃饭 五食堂（刘彤）
13.0,花呗,微信,2021/11/23,给刘彤带饭
50.0,支付宝,农业银行,2021/11/26,
5500.0,中国银行,支付宝,2021/11/30,
19.0,花呗,微信,2021/12/01,带饭
13.0,花呗,微信,2021/12/02,带饭
1500.0,中国银行,支付宝,2021/12/04,
26.0,花呗,微信,2021/12/05,带饭
11.0,花呗,微信,2021/12/06,带饭
2000.0,中国银行,微信,2021/12/08,
5.79,支付宝,花呗,2021/12/18,
4.53,花呗,支付宝,2021/12/19,
2086.67,支付宝,花呗,2021/12/20,花呗还款
500.0,邮政储蓄,支付宝,2022/01/09,钱管家转入
2000.0,中国银行,邮政储蓄,2022/01/09,
500.0,邮政储蓄,支付宝,2022/01/10,钱管家转入
364.34,支付宝,花呗,2022/01/20,
500.0,邮政储蓄,支付宝,2022/02/10,钱管家转入
98.69,支付宝,花呗,2022/02/20,花呗还款
500.0,邮政储蓄,支付宝,2022/03/10,余额宝-钱管家转入
81.22,支付宝,花呗,2022/03/20,自动还款-花呗2022年03月账单
20.0,支付宝,花呗,2022/04/20,自动还款-花呗2022年04月账单
4431.28,中国银行,微信,2022/05/20,无
47.08,支付宝,花呗,2022/06/20,自动还款-花呗2022年06月账单
597.24,中国银行,微信,2022/07/01,无
68.0,花呗,支付宝,2022/07/03,金额中转：QQ上有一个人（池江：3344196521）加好友，拉我进群（满面春风），说做抖音点赞任务可以赚钱，我就试了几个，下载了APP华晨媒体，后来又说银行卡转钱68，今天参加了一次，绑定了中国银行银行卡，返回了103，白薅了这些羊毛，类似这种：https://zhuanlan.zhihu.com/p/386091460 【联单任务工资安排如下 1 连续做满1.2.3单工资8元 2 连续做满4.5.6单工资14元 3 连续做满7.8.9单工资18元 4 连续做满10.11.12单工资23元 5 连续做满13.14.15单工资28元 6 连续做满16.17.18单工资38元 注意：(必须连续完任务，中途不可断）中断联系接待员补单，遵守补单规则】
80.0,支付宝,中国银行,2022/07/10,支付宝瞎搞点赞任务，金额中转
87.74,支付宝,花呗,2022/07/20,自动还款-花呗2022年07月账单
0.08,支付宝,微信,2022/07/22,挖耳勺（快递弄丢了，在微信上赔付的7月31日）
60.0,中国银行,微信,2022/07/31,
100.0,建设银行,校园卡,2023/02/08,
